inventory_id,signature_id,ambiguity_kind,classmark,cudl_label,fist_signature_ids,fist_inventory_ids,leading_char,pattern_guess
,,multi_inventory,mosserii26.1,MS-MOSSERI-I-00026-00001,,"6644099,9867850",,mosseri_exotic_letter
,,multi_inventory,mosserii26.2,MS-MOSSERI-I-00026-00002,,"6645099,9868850",,mosseri_exotic_letter
,,multi_inventory,mosserii26.3,MS-MOSSERI-I-00026-00003,,"6646099,9869850",,mosseri_exotic_letter
,,multi_inventory,mosserii51,MS-MOSSERI-I-00051,,"86850,9877850",,mosseri_exotic_letter
,,multi_inventory,mosserii52,MS-MOSSERI-I-00052,,"87850,9878850",,mosseri_exotic_letter
,,multi_inventory,mosserii62,MS-MOSSERI-I-00062,,"8850,101850",,mosseri_exotic_letter
,,multi_inventory,mosserii93,MS-MOSSERI-I-00093,,"14850,151850",,mosseri_exotic_letter
,,multi_inventory,mosserii101,MS-MOSSERI-I-00101,,"15850,164850",,mosseri_exotic_letter
,,multi_inventory,mosserii102,MS-MOSSERI-I-00102,,"16850,165850",,mosseri_exotic_letter
,,multi_inventory,mosserii111,MS-MOSSERI-I-00111,,"17850,178850",,mosseri_exotic_letter
,,multi_inventory,mosserii112,MS-MOSSERI-I-00112,,"18850,179850",,mosseri_exotic_letter
,,multi_inventory,mosseriia2,MS-MOSSERI-IA-00002,,"222850,222850,9902850",,mosseri_exotic_letter
,,multi_inventory,mosseriia11,MS-MOSSERI-IA-00011,,"219850,232850",,mosseri_exotic_letter
,,multi_inventory,mosseriii71,MS-MOSSERI-II-00071,,"281850,391850",,mosseri_exotic_letter
,,multi_inventory,mosseriii82,MS-MOSSERI-II-00082,,"285850,406850",,mosseri_exotic_letter
,,multi_inventory,mosseriii93,MS-MOSSERI-II-00093,,"288850,432850",,mosseri_exotic_letter
,,multi_inventory,mosseriii112,MS-MOSSERI-II-00112,,"291850,476850",,mosseri_exotic_letter
,,no_fist_match,mosseriii117.1a,MS-MOSSERI-II-00117-00001-A,,,,mosseri_exotic_letter
,,no_fist_match,mosseriii117.1b,MS-MOSSERI-II-00117-00001-B,,,,mosseri_exotic_letter
,,no_fist_match,mosseriii123.12,MS-MOSSERI-II-00123-00001-00002,,,,mosseri_exotic_letter
,,multi_inventory,mosseriii171,MS-MOSSERI-II-00171,,"300850,583850",,mosseri_exotic_letter
,,multi_inventory,mosseriii172,MS-MOSSERI-II-00172,,"301850,584850",,mosseri_exotic_letter
,,multi_inventory,mosseriii191,MS-MOSSERI-II-00191,,"303850,610850",,mosseri_exotic_letter
,,multi_inventory,mosseriii192,MS-MOSSERI-II-00192,,"304850,611850",,mosseri_exotic_letter
,,multi_inventory,mosseriii231,MS-MOSSERI-II-00231,,"310850,661850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii25.2a,MS-MOSSERI-III-00025-00002-A,,"6654099,10065850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii25.2b,MS-MOSSERI-III-00025-00002-B,,"6655099,10066850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii41,MS-MOSSERI-III-00041,,"928850,10114850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii113,MS-MOSSERI-III-00113,,"1077850,9982850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii114,MS-MOSSERI-III-00114,,"1078850,9983850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii134.1,MS-MOSSERI-III-00134-00001,,"6647099,9989850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii134.2,MS-MOSSERI-III-00134-00002,,"6648099,9990850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii134.3,MS-MOSSERI-III-00134-00003,,"6649099,9991850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii146.1,MS-MOSSERI-III-00146-00001,,"6650099,10012850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii146.2,MS-MOSSERI-III-00146-00002,,"6651099,10013850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii151,MS-MOSSERI-III-00151,,"872850,1141850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii161,MS-MOSSERI-III-00161,,"874850,1164850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii162,MS-MOSSERI-III-00162,,"875850,1165850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii191,MS-MOSSERI-III-00191,,"878850,1217850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii192,MS-MOSSERI-III-00192,,"879850,1218850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii211,MS-MOSSERI-III-00211,,"883850,1256850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii215,MS-MOSSERI-III-00215,,"887850,1265850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii221,MS-MOSSERI-III-00221,,"888850,1273850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii229.2a,MS-MOSSERI-III-00229-00002-A,,"6652099,10059850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii229.2b,MS-MOSSERI-III-00229-00002-B,,"6653099,10060850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii231,MS-MOSSERI-III-00231,,"892850,10061850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii232,MS-MOSSERI-III-00232,,"893850,1287850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii233,MS-MOSSERI-III-00233,,"894850,1288850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii241,MS-MOSSERI-III-00241,,"896850,1299850",,mosseri_exotic_letter
,,multi_inventory,mosseriiii242,MS-MOSSERI-III-00242,,"897850,1300850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv122,MS-MOSSERI-IV-00122,,"2161850,2599850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv143,MS-MOSSERI-IV-00143,,"2169850,2665850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv152,MS-MOSSERI-IV-00152,,"2175850,2707850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv162,MS-MOSSERI-IV-00162,,"2749850,10148850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv201,MS-MOSSERI-IV-00201,,"2195850,2901850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv203,MS-MOSSERI-IV-00203,,"2197850,2905850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv211,MS-MOSSERI-IV-00211,,"2199850,2929850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv222,MS-MOSSERI-IV-00222,,"2205850,2975850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv241,MS-MOSSERI-IV-00241,,"2209850,3065850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv243,MS-MOSSERI-IV-00243,,"2211850,3073850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv251,MS-MOSSERI-IV-00251,,"2213850,3095850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv254,MS-MOSSERI-IV-00254,,"2216850,3100850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv263,MS-MOSSERI-IV-00263,,"2220850,3117850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv293,MS-MOSSERI-IV-00293,,"2234850,3182850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv351,MS-MOSSERI-IV-00351,,"2253850,3322850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv352,MS-MOSSERI-IV-00352,,"2254850,3323850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv363,MS-MOSSERI-IV-00363,,"2260850,3337850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv371,MS-MOSSERI-IV-00371,,"2263850,3348850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv372,MS-MOSSERI-IV-00372,,"2265850,3349850",,mosseri_exotic_letter
,,multi_inventory,mosseriiv392,MS-MOSSERI-IV-00392,,"3377850,10203850",,mosseri_exotic_letter
,,multi_inventory,mosseriix122,MS-MOSSERI-IX-00122,,"5097850,5272850",,mosseri_exotic_letter
,,multi_inventory,mosseriv133,MS-MOSSERI-V-00133,,"1629850,10237850",,mosseri_exotic_letter
,,multi_inventory,mosseriv223,MS-MOSSERI-V-00223,,"1795850,10254850",,mosseri_exotic_letter
,,no_fist_match,mosseriv270b,MS-MOSSERI-V-00270-B,,,,mosseri_exotic_letter
,,no_fist_match,mosseriv270c,MS-MOSSERI-V-00270-C,,,,mosseri_exotic_letter
,,no_fist_match,mosseriv270d,MS-MOSSERI-V-00270-D,,,,mosseri_exotic_letter
,,no_fist_match,mosseriv270e,MS-MOSSERI-V-00270-E,,,,mosseri_exotic_letter
,,no_fist_match,mosseriv270f,MS-MOSSERI-V-00270-F,,,,mosseri_exotic_letter
,,multi_inventory,mosseriv292,MS-MOSSERI-V-00292,,"1409850,1905850",,mosseri_exotic_letter
,,no_fist_match,mosserivi2.1,MS-MOSSERI-VI-00002-00001,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi2.2,MS-MOSSERI-VI-00002-00002,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi24.3,MS-MOSSERI-VI-00024-00003,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi25,MS-MOSSERI-VI-00025,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi30.3,MS-MOSSERI-VI-00030-00003,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi115.1a,MS-MOSSERI-VI-00115-00001-A,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi115.1b,MS-MOSSERI-VI-00115-00001-B,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi115.1c,MS-MOSSERI-VI-00115-00001-C,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi115.1d,MS-MOSSERI-VI-00115-00001-D,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi115.2,MS-MOSSERI-VI-00115-00002,,,,mosseri_exotic_letter
,,multi_inventory,mosserivi131,MS-MOSSERI-VI-00131,,"2163850,2626850",,mosseri_exotic_letter
,,multi_inventory,mosserivi142,MS-MOSSERI-VI-00142,,"2168850,2661850",,mosseri_exotic_letter
,,multi_inventory,mosserivi181,MS-MOSSERI-VI-00181,,"2188850,2823850",,mosseri_exotic_letter
,,multi_inventory,mosserivi182,MS-MOSSERI-VI-00182,,"2189850,2826850",,mosseri_exotic_letter
,,no_fist_match,mosserivi217a,MS-MOSSERI-VI-00217-A,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi217b,MS-MOSSERI-VI-00217-B,,,,mosseri_exotic_letter
,,no_fist_match,mosserivi228,MS-MOSSERI-VI-00228,,,,mosseri_exotic_letter
,,multi_inventory,mosserivii43,MS-MOSSERI-VII-00043,,"3387850,3456850",,mosseri_exotic_letter
,,multi_inventory,mosserivii61,MS-MOSSERI-VII-00061,,"3389850,3484850",,mosseri_exotic_letter
,,multi_inventory,mosserivii101,MS-MOSSERI-VII-00101,,"3402850,3578850",,mosseri_exotic_letter
,,multi_inventory,mosserivii131,MS-MOSSERI-VII-00131,,"3409850,3633850",,mosseri_exotic_letter
,,multi_inventory,mosserivii132,MS-MOSSERI-VII-00132,,"3410850,3634850",,mosseri_exotic_letter
,,multi_inventory,mosserivii151,MS-MOSSERI-VII-00151,,"3412850,3666850",,mosseri_exotic_letter
,,multi_inventory,mosserivii153,MS-MOSSERI-VII-00153,,"3414850,3670850",,mosseri_exotic_letter
,,multi_inventory,mosserivii161,MS-MOSSERI-VII-00161,,"3415850,3681850",,mosseri_exotic_letter
,,multi_inventory,mosserivii202,MS-MOSSERI-VII-00202,,"3421850,3761850",,mosseri_exotic_letter
,,multi_inventory,mosseriviii121,MS-MOSSERI-VIII-00121,,"3797850,3992850",,mosseri_exotic_letter
,,multi_inventory,mosseriviii142,MS-MOSSERI-VIII-00142,,"3801850,4030850",,mosseri_exotic_letter
,,multi_inventory,mosseriviii161,MS-MOSSERI-VIII-00161,,"3803850,4073850",,mosseri_exotic_letter
,,multi_inventory,mosseriviii162,MS-MOSSERI-VIII-00162,,"3804850,4074850",,mosseri_exotic_letter
