cluster,sys_id,library,title
0,990000412990205171,Allony,"הורית הקורא : ; חיבור בדקדוק השפה העברית, בערבית."
0,990000413480205171,Allony,הגדה של פסח.
0,990000432020205171,NLI,מעשיות מן התלמוד : ; מעשיות מן התלמוד בתרגום לערבית-יהודית.
0,990000465330205171,Allony,פרוש ספר הענק.
0,990000465590205171,Allony,מחזור מנהג ספרד לראש השנה (קטע).
0,990000465650205171,Allony,"תורה (דברים יד:ג-יד:כא, טז:ח-טז:יז)."
0,990000539040205171,Wellcome,קרובה לחג שבועות.
0,990000555780205171,RNL,אבות דרבי נתן נוסח ב : ; קטעים מפרק מב-מג; מז-מח.
0,990000555810205171,RNL,הלכות גדולות (בבא קמא).
0,990000555840205171,RNL,תורת האדם : ; קטע מענין האבל-ענין שבתות וימים טובים.
0,990000555850205171,RNL,מסכת דרך ארץ זעירא : ; פרק א-ב.
0,990000555860205171,RNL,"תלמוד בבלי סדר נזיקין (בבא בתרא עה; עז; פב ע""ב-פז ע""א)."
0,990000571680205171,RNL,"נביאים ראשונים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571690205171,RNL,"תורה (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571700205171,RNL,"נביאים אחרונים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571720205171,RNL,נביאים (קטעים).
0,990000571730205171,RNL,"נביאים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571740205171,RNL,"כתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571850205171,RNL,נביאים אחרונים (קטעים).
0,990000571870205171,RNL,"נביאים וכתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571880205171,RNL,"תורה (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000571890205171,RNL,"כתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
0,990000589160205171,RNL,קובץ.
0,990000617200205171,BenZvi,תפלות על דרך הקבלה.
0,990000619720205171,RNL,"קובץ חבורי הרא""ש."
0,990000621930205171,RNL,קובץ ברפואה.
0,990000621960205171,RNL,שאילתות.
0,990000622310205171,RNL,"תורת הבית הקצר (בתים ג,ד)."
