status,shelfmark_a,shelfmark_b,title_a,title_b,identification_candidate,span_letters,edit_density,supporting_page_pairs,sys_id_a,sys_id_b,page_a,page_b
confirmed,Ms. EVR ARAB I 1390,Ms. EVR ARAB I 3368,פרוש נביאים (מלכים).,פרוש נביאים ראשונים.,,1714,0.313,1,990001532600205171,990001551330205171,29,74
confirmed,The National Library of Russia Box M.56,Ms. EVR II A 2063,תפלה. מנהג קראים.,סדור מנהג ארצות המזרח(?) (קטע).,,1282,0.41,1,997012281144505171,990001455530205171,87,13
confirmed,Ms. FR 9-002.1,Cambridge University Library Ms. T-S F 2(2).18,"תלמוד בבלי סדר מועד (שבת ב ע""ב-טו ע""ב).","תלמוד בבלי [טקסט]. ; Talmud Bavli: Shabbat 30 b – 31 a ; תלמוד בבלי: שבת ל ע""ב – לא ע""א",,1227,0.351,1,990001748410205171,990051167530205171,27,2
confirmed,Ms. EVR ARAB I 1686,Ms. EVR ARAB I 4520,קבץ קטעים שרובם מחבורים קראיים.,כתאב אלאנואר ואלמראקב (קטע) : ; על ענין יום כפור.,,1126,0.351,1,990000923330205171,990000859850205171,52,88
confirmed,Ms. EVR ARAB I 1326,Ms. EVR ARAB I 1106,קובץ חבורי אליהו בן אהרן אבן עבד אלולי.,כתאב אלמרשד.,,1088,0.196,1,990001023180205171,990000899900205171,189,24
confirmed,Ms. EVR ARAB II 800,Ms. EVR ARAB I 423,אלמקדמאת.,אלמקדמאת.,,1069,0.24,1,990001600680205171,990001525370205171,77,141
confirmed,Ms. EVR II B 290,Ms. Evr. Antonin A 1,תורה ונביאים ראשונים (קטעים).,"תנ""ך.",,1065,0.306,1,990001568130205171,990000895680205171,80,67
confirmed,Ms. EVR II B 1011,Ms. EVR II B 1014,תורה (קטעים).,תורה (קטעים).,,1029,0.198,1,990001575850205171,990001575890205171,90,14
confirmed,Ms. EVR II B 290,Ms. EVR II B 1167,תורה ונביאים ראשונים (קטעים).,נביאים (שמואל א טז:כג-יח:ה).,,1015,0.253,1,990001568130205171,990001577490205171,80,7
confirmed,Ms. EVR ARAB I 177,Ms. EVR ARAB I 3496,"תרגום ופרוש נביאים ליפת בן עלי (יחזקאל כז-מח, זכריה ה:ה).",תרגום ערבי לנביאים (יחזקאל).,,1004,0.158,1,990001523200205171,990001552710205171,102,114
confirmed,Ms. EVR ARAB I 129,Ms. Evr. Antonin B 972,"פרוש התורה לרס""ג בערבית (שמות, קטעים).","תרגום ערבי לתורה (ויקרא, קטע).",,1000,0.342,1,990001522820205171,990001668050205171,24,2
